title,authors,editors,translator,date,rating,re-read,pages,non-fiction,comic,published
Cranford,Elizabeth Gaskell,,,2015-01-06,+,,192,,,1851
Stories of Your Life and Others,Ted Chiang,,,2015-01-18,,,352,,,2002
The Lifecycle of Software Objects,Ted Chiang,,,2015-01-18,,,150,,,2010
The Thing Around Your Neck,Chimamanda Ngozi Adichie,,,2015-01-23,+,,300,,,2009
In Other Worlds: SF and the Human Imagination,Margaret Atwood,,,2015-02-04,,,272,TRUE,,2011
Flame Alphabet,Ben Marcus,,,2015-02-14,,,304,,,2012
Saga,"Fiona Staples,Brian K. Vaughan",,,2015-02-20,,,504,,TRUE,2014
Sugar Skull,Charles Burns,,,2015-02-21,,,80,,TRUE,2014
The Love Affairs Of Nathaniel P,Adelle Waldman,,,2015-03-05,+,,272,,,2014
Get In Trouble,Kelly Link,,,2015-04-08,+,,352,,,2015
Knowledge: A Very Short Introduction,Jennifer Nagel,,,2015-04-09,,,152,TRUE,,2014
Design as Art,Bruno Munari,,,2015-04-10,,,224,TRUE,,1971
Monsterous Affections,Various,"Kelly Link,Gavin Grant",,2015-04-30,+,,480,,,2014
Infinite Jest,David Foster Wallace,,,2015-08-15,+,,1104,,,1996
Ancillary Justice,Ann Leckie,,,2015-08-25,,,432,,,2013
Ancillary Sword,Ann Leckie,,,2015-09-03,,,384,,,2014
The Gospel According To Jesus Christ,José Saramago,,,2015-10-09,,,352,,,1994
Moby Dick,Herman Melville,,,2015-11-25,,,768,,,1851
Gyo,Junji Ito,,,2015-11-07,,,627,,TRUE,2002
We Should All Be Feminists,Chimamanda Ngozi Adichie,,,2015-11-25,,,64,TRUE,,2014
Utopia Of Rules,David Graeber,,,2015-12-03,,,272,TRUE,,2015
Cat's Cradle,Kurt Vonnegut,,,2015-12-06,+,TRUE,188,,,1963
"God Bless You, Mr. Rosewater",Kurt Vonnegut,,,2015-12-08,,TRUE,150,,,1965
Slaughterhouse 5,Kurt Vonnegut,,,2015-12-12,++,TRUE,145,,,1969
Breakfast of Champions,Kurt Vonnegut,,,2015-12-22,,TRUE,243,,,1973
Americanah,Chimamanda Ngozi Adichie,,,2016-01-06,+,,477,,,2013
Ancillary Mercy,Ann Leckie,,,2016-01-27,,,330,,,2015
Cold Comfort Farm,Stella Gibbons,,,2016-02-01,+,,233,,,1932
Uzumaki,Junji Ito,,,2016-02-01,,,640,,TRUE,1999
A Monster Calls,Patrick Ness,,,2016-02-03,++,,240,,,2011
Rogue Male,Geoffrey Household,,,2016-02-09,,,182,,,1939
Player Piano,Kurt Vonnegut,,,2016-02-15,,TRUE,307,,,1952
The Sirens of Titan,Kurt Vonnegut,,,2016-02-22,,TRUE,307,,,1959
Mother Night,Kurt Vonnegut,,,2016-02-27,+,TRUE,180,,,1961
My Brilliant Friend,Elena Ferrante,,Ann Goldstein,2016-03-03,+,,331,,,2012
The Story of a New Name,Elena Ferrante,,Ann Goldstein,2016-03-12,++,,480,,,2013
Those Who Leave and Those Who Stay,Elena Ferrante,,Ann Goldstein,2016-03-19,,,400,,,2014
The Story of the Lost Child,Elena Ferrante,,Ann Goldstein,2016-04-01,+,,473,,,2015
Slapstick,Kurt Vonnegut,,,2016-04-06,,TRUE,162,,,1976
Jailbird,Kurt Vonnegut,+,,2016-04-09,,TRUE,214,,,1979
Deadeye Dick,Kurt Vonnegut,,,2016-04-15,,TRUE,182,,,1982
Galapagos,Kurt Vonnegut,,,2016-04-23,+,TRUE,222,,,1985
To The Lighthouse,Virginia Woolf,,,2016-05-12,+,,238,,,1927
Captain Marvel: In Pursuit of Flight,"Kelly Sue DeConnick,Emma Rios,Dexter Soy",,,2016-05-10,,,136,,TRUE,2012
Captain Marvel: Down,Kelly Sue DeConnick,,,2016-05-11,,,136,,TRUE,2012
Thor: Goddess of Thunder,"Aaron Jason,Dauterman Russell",,,2016-05-13,,,136,,TRUE,2016
Our Tragic Universe,Scarlett Thomas,,,2016-05-22,-,,448,,,2011
Bluebeard,Kurt Vonnegut,,,2016-05-30,+,TRUE,216,,,1987
Hocus Pocus,Kurt Vonnegut,,,2016-06-11,,TRUE,259,,,1990
Timequake,Kurt Vonnegut,,,2016-06-19,,TRUE,171,,,1997
Lumberjanes 1,"Noelle Stevenson,Grace Ellis,Shannon Watters,Brooke Allen",,,2016-06-01,+,,128,,TRUE,2015
Lumberjanes 2,"Noelle Stevenson, Grace Ellis, Shannon Watters, Brooke Allen",,,2016-06-01,+,,128,,TRUE,2015
The Eltingville Club,Evan Dorkin,,,2016-07-09,+,TRUE,128,,TRUE,2016
Jane Eyre,Charlotte Brontë,,,2016-07-17,++,,421,,,1847
Three Moments of an Explosion,China Miéville,,,2016-07-20,++,,431,,,2015
Number 11,Jonathan Coe,,,2016-07-21,,,351,,,2015
The Penelopiad,Margaret Atwood,,,2016-08-01,,,224,,,2005
Dictator,Robert Harris,,,2016-08-17,,,544,,,2015
Hark! A Vagrant,Kate Beaton,,,2016-08-18,,,168,,TRUE,2011
The Vorrh,Brian Catling,,,2016-08-28,++,,500,,,2012
Dart,Alice Oswald,,,2016-08-29,+,,48,,,2002
Dancing at the Edge of the World,Ursula K. Le Guin,,,2016-09-13,+,,306,TRUE,,1989
Lumberjanes 3,"Noelle Stevenson, Grace Ellis, Shannon Watters, Brooke Allen",,,2016-09-15,,,112,,TRUE,2016
Wuthering Heights,Emily Brontë,,,2016-10-07,,,278,,,1847
Brave New World,Aldous Huxley,,,2016-10-09,,,232,,,1932
Letters to Alice on First Reading Jane Austen ,Fay Weldon,,,2016-10-12,,,148,TRUE,,1984
Golden Hill,Francis Spufford,,,2016-10-24,+,,340,,,2016
Lumberjanes 4,"Noelle Stevenson,Grace Ellis,Shannon Watters,Brooke Allen",,,2016-11-01,,,128,,TRUE,2016
"Fine, Fine, Fine, Fine, Fine",Diane Williams,,,2016-11-12,,,136,,,2016
Words are my Matter,Ursula K. Le Guin,,,2016-11-22,,,316,TRUE,,2016
New Model Army,Adam Roberts,,,2016-11-30,,,281,,,2010
Men Explain Things To Me,Rebecca Solnit,,,2016-12-01,,,130,,,2014
Re Jane,Patricia Park,,,2016-12-18,,,338,,,2015
The Silence of Animals,John Gray,,,2016-12-20,,,208,TRUE,,2013
Hothouse,Brian Aldiss,,,2016-12-28,,,270,,,1961
We Have Always Lived in the Castle,Shirley Jackson,,,2017-01-02,+,,176,,,1962
But What If We're Wrong?,Chuck Klosterman,,,2017-01-08,,,288,TRUE,,2016
Akira Vol 1.,Katsuhiro Otomo,,,2017-01-09,,,363,,TRUE,1984
Akira Vol 2.,Katsuhiro Otomo,,,2017-01-10,+,,301,,TRUE,1985
Akira Vol 3.,Katsuhiro Otomo,,,2017-01-11,+,,282,,TRUE,1986
This Is The Place To Be,Lara Pawson,,,2017-01-16,++,,124,TRUE,,2016
Akira Vol 4.,Katsuhiro Otomo,,,2017-01-17,,,393,,TRUE,1987
Akira Vol 5.,Katsuhiro Otomo,,,2017-01-18,,,413,,TRUE,1990
Akira Vol 6.,Katsuhiro Otomo,,,2017-01-19,,,434,,TRUE,1993
A Far Cry From Kensington,Muriel Spark,,,2017-01-21,+,,194,,,1988
Homo Deus,Yuval Noah Harari,,,2017-01-30,,,397,TRU,,2016
This Census Taker,China Miéville,,,2017-01-31,,,140,,,2016
The Fifth Head of Cerberus,Gene Wolfe,,,2017-02-12,,,222,,,1972
Roadside Picnic,"Arkady Strugatsky,Boris Strugatsky",,Olena Bormashenko,2017-02-17,,,209,,,1977
Polaroids From The Dead,Douglas Coupland,,,2017-02-23,,,198,,,1996
Lumberjanes 5,"Noelle Stevenson,Grace Ellis,Shannon Watters,Brooke Allen",,,2017-02-25,,,128,,TRUE,2016
Star Wars: Darth Vader Vol. 1,"Kieron Gillen,Salvador Larroca",,,2017-02-26,+,,296,,TRUE,2016
Star Wars: Darth Vader Vol. 2,"Kieron Gillen,Salvador Larroca",,,2017-03-01,+,,432,,TRUE,2017
Eligible,Curtis Sittenfeld,,,2017-03-26,,,514,,,2016
Seeing Like A State,James C Scott,,,2017-04-03,,,432,TRUE,,1998
North and South,Elizabeth Gaskell,,,2017-04-13,+,,452,,,1855
The Power,Naomi Alderman,,,2017-04-18,+,,352,,,2016
The Last Days Of New Paris,China Miéville,,,2017-05-01,,,224,,,2017
The Martian Chronicles,Ray Bradbury,,,2017-05-17,+,,181,,,1950
Nimona,Noelle Stevenson,,,2017-05-18,,,262,,TRUE,2015
Rise of the Videogame Zinesters,Anna Anthropy,,,2017-05-31,,,185,TRUE,,2012
Stoner,John Williams,,,2017-06-03,++,,288,,,1965
Why I'm Not A Feminist,Jessa Crispin,,,2017-06-05,,,151,TRUE,,2017
The Hobbit,J.R.R. Tolkien,,,2017-06-29,,TRUE,272,,,1937
October,China Miéville,,,2017-07-22,,,343,TRUE,,2017
Binti,Nnedi Okorafor,,,2017-07-23,,,90,,,2015
Wolfhound Century,Peter Higgins,,,2017-08-01,+,,336,,,2015
Truth and Fear,Peter Higgins,,,2017-08-20,+,,384,,,2015
Radiant State,Peter Higgins,,,2017-08-23,+,,288,,,2015
The Essex Serpent,Sarah Perry,,,2017-08-30,+,,448,,,2016
Agnes Grey,Anne Brontë,,,2017-09-19,,,172,,,1847
Clade,James Bradley,,,2017-09-24,,,300,,,2015
Ethel and Ernest,Raymond Briggs,,,2017-09-24,+,,103,TRUE,TRUE,1998
Twenty Thousand Streets Under The Sky,Patrick Hamilton,,,2017-10-12,+,,527,,,1935
The Time Machine,H G Wells,,,2017-10-17,+,,70,,,1895
USA Trilogy,John Dos Passos,,,2018-01-09,+,,1187,,,1936
Bluets,Maggie Nelson,,,2018-01-11,,,112,,,2009
Gold,Dan Rhodes,,,2018-01-12,+,,208,,,2007
Provenance,Ann Leckie,,,2018-01-23,,,438,,,2017
Sum,David Eagleman,,,2018-01-24,+,,110,,,2009
The Origin of Others,Toni Morrison,,,2018-01-26,+,,114,TRUE,,2017
The Alarming Palsy of James Orr,Tom Lee,,,2018-01-28,+,,160,,,2017
Anti-Gone,Connor Willumsen,,,2018-01-29,,,120,,TRUE,2017
Woman Rebel: The Margaret Sanger Story,Peter Bagge,,,2018-01-31,,,80,TRUE,TRUE,2013
The Sellout,Paul Beatty,,,2018-02-28,,,289,,,2016
Gnomon,Nick Harkaway,,,2018-04-04,+,,704,,,2017
I Hate The Internet,Jarett Kobek,,,2018-04-07,++,,288,,,2016
The Monkey's Mask,Dorothy Porter,,,2018-04-19,+,,261,,,1995
No Time To Spare,Ursula K. Le Guin,,,2018-04-25,+,,215,TRUE,,2017
ZZT,Anna Anthropy,,,2018-04-27,,,129,TRUE,,2014
Soft and Cuddly,Jarett Kobek,,,2018-04-29,+,,173,TRUE,,2017
The Fall Guy,James Lasdun,,,2018-05-13,+,,244,,,2017
The Prime of Miss Jean Brodie,Muriel Spark,,,2018-05-22,+,,144,,,1961
Radical Technologies,Adam Greenfield,,,2018-06-05,+,,368,TRUE,,2017
Why I’m No Longer Talking to White People About Race,Reni Eddo-Lodge,,,2018-06-14,,,272,,,2017
Circe,Madeline Miller,,,2018-07-03,+,,333,,,2018
Lullaby,Leila Slimani,,translator,2018-07-24,,,207,,,2017
The Easter Parade,Richard Yates,,,2018-07-26,+,,226,,,1976
The Mother Of All Questions,Rebecca Solnit,,,2018-07-29,,,193,TRUE,,2017
Jingo,Terry Pratchett,,,2018-08-02,,,416,,,1997
The Erstwhile,Brian Catling,,,2018-08-14,+,,463,,,2017
Girls Gone Old,Fiona Helmsley,,,2018-08-16,,,178,TRUE,,2017
Changing My Mind,Zadie Smith,,,2018-08-29,+,,320,TRUE,,2009
My Year Of Rest And Relaxation,Otessa Mosfegh,,,2018-09-10,+,,304,,,2018
How To Change Your Mind,Michael Pollan,,,2018-09-27,+,,480,TRUE,,2018
Convenience Store Woman,Sayaka Murata,,Ginny Tapley Takemori,2018-10-08,+,,176,,,2018
The Poisonwood Bible,Barbara Kingsolver,,,2018-10-25,++,,614,,,1998
HOE #999: Decennial Appreciation and Celebratory Analysis,Jarett Kobek,,,2018-10-31,,,128,,,2010
The Spire,William Golding,,,2018-11-16,+,,163,,,1964
Pet Semetary,Steven King,,,2018-11-30,,,480,,,1983
"Things That Bother Me; death, freedom, the self, etc",Galen Strawson,,,2018-12-13,+,,240,TRUE,,2018
A Wizard of Earthsea,Ursula K. Le Guin,,,2018-12-30,++,TRUE,304,,,1968
Frankenstein,Mary Shelly,,,2019-01-09,+,,288,,,1818
The Circle,Dave Eggers,,,2019-01-20,,,512,,,2013
Milkman,Anna Burns,,,2019-02-04,+,,349,,,2018
Kalpa Imperial: The Greatest Empire That Never Was,Angélica Gorodischer,,,2019-02-10,,,246,,,1983
The Daylight Gate,Jeanette Winterson,,,2019-02-14,,,240,,,2013
The Black Prince,Adam Roberts,,,2019-03-01,+,,320,,,2018
Do Every Thing Wrong!: XXXTentacion Against the World,Jarett Kobek,,,2019-03-04,,,171,,,2018
Dr Who: Borrowed Time,Naomi Alderman,,,2019-03-07,,,256,,,2011
The Writer's Map,"Dr Huw Lewis-Jones,David Mitchell,Philip Pullman,Robert Macfarlane,Joanne Harris, Miraphora Mina, Daniel Reeve, Cressida Cowell",Dr Huw Lewis-Jones,,2019-03-14,,,256,TRUE,,2018
Murmur,Will Eaves,,,2019-03-30,,,173,,,2018
Addiction By Design,Natasha Dow Shüll,,,2019-04-15,++,,457,TRUE,,2012
The Rise and Fall of the Dinosaurs: The Untold Story of a Lost World,Steve Brusatte,,,2019-04-30,,,320,TRUE,,2018
Atta,Jarett Kobek,,,2019-05-08,,,200,,,2011
Uncertainty in Games,Greg Costikyan,,,2019-06-7,-,,140,TRUE,,2013
Mary Barton,Elizabeth Gaskell,,,2019-06-29,+,,464,,,1848
Normal People,Sally Rooney,,,2019-07-07,+,,288,,,2018
The Future Won't Be Long,Jarett Kobek,,,2019-07-29,+,,416,,,2017
Only Americans Burn In Hell,Jarett Kobek,,,2019-08-02,,,304,,,2019
Fifth Season,N K Jemisin,,,2019-08-18,+,,512,,,2016
Obleisk Gate,N K Jemisin,,,2019-08-24,,,448,,,2016
The Stone Sky,N K Jemisin,,,2019-09-09,,,464,,,2017
Cassandra Darke,Posy Simmonds,,,2019-10-01,,,96,,TRUE,2018
BTW,Jarett Kobek,,,2019-10-06,,,168,,,2013
Their Brilliant Careers,Ryan O'Neil,,,2019-10-08,,,290,,,2016
The Order of the Day,Eric Vuillard,,Mark Polizzotti,2019-10-12,,,144,TRUE,,2017
My Sister the Serial Killer,Oyinkan Braithwaite,,,2019-10-16,,,240,,,2018
Prisoners of Geography,Tim Marshall,,,2019-10-23,,,256,TRUE,,2015
Slow Horses,Mick Herron,,,2019-11-5,,,352,,,2010
The Island of Dr Moreau,H G Wells,,,2019-11-12,+,,176,,,1896
"Top 10 Games You Can Play In Your Head, By Yourself","Sam Gorski, D.F.Lovett",,,2019-11-21,,,198,,,2019
The Uninhabitable Earth: Life After Warming,David Wallace-Wells,,,2019-09-15,-,,320,TRUE,,2019
The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins,Anna Lowenhaupt Tsing,,,2019-12-15,,,352,TRUE,,2015
Priestdaddy,Patricia Lockwood,,,2019-12-23,+,,352,TRUE,,2017
Ghost Wall,Sarah Moss,,,2019-12-27,+,,160,,,2018
The Topeka School,Ben Lerner,,,2019-12-31,,,304,,,2019
The Unmapped Country: Stories and Fragments,Ann Quin,,,2020-01-06,,,192,,,1967
Gideon the Ninth,Tamsyn Muir,,,2020-01-16,,,448,,,2019
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,,,2020-01-19,,,320,TRUE,,2018
The War Of The Worlds,H G Wells,,,2020-01-29,+,,240,,,1897
Broadsword Calling Danny Boy: On Where Eagles Dare,Geoff Dyer,,,2020-01-30,,,128,TRUE,,2018
The Coldest Winter Ever,Sister Souljah,,,2020-02-10,,,350,,,1999
Infinite Kung Fu,Kagan McLoed,,,2020-02-12,,,464,,TRUE,2011
It Doesn't Suck: Showgirls,Adam Nayman,,,2020-02-15,,,136,TRUE,,2014
The Women of Brewster Place,Gloria Naylor,,,2020-02-26,,,192,,,1982
Rusty Brown,Chris Ware,,,2020-02-29,+,,356,,TRUE,2019
Cold Spring Harbour,Richard Yates,,,2020-03-09,,,182,,,1986
The Moonstone,Wilkie Collins,,,2020-04-12,,,528,,,1868
Disobedience,Naomi Alderman,,,2020-04-16,,,240,,,2007
The Cloven,Brian Catling,,,2020-04-23,,,448,,,2018
Moderan,David Bunch,,,2020-04-25,,,352,,,1971
Fleishman is in trouble,Taffy Brodesser-Akner,,,2020-04-29,+,,384,,,2019
Enigma,Robert Harris,,,2020-05-04,,,451,,,1995
The Turn of the Key,Ruth Ware,,,2020-05-08,,,352,,,2019
"The Lord of the Rings, The Fellowship of the Ring",J.R.R. Tolkien,,,2020-06-10,+,TRUE,448,,,1954
The Heat of the Day ,Elizabeth Bowen,,,2020-06-20,,,389,,,1948
Black American Psycho,Ernest Baker,,,2020-06-22,,,140,,,2016
Go Ahead in the Rain Paperback,Hanif Abdurraqib,,,2020-07-01,,,216,TRUE,,2019
The Murder of Roger Ackroyd,Agatha Christie,,,2020-07-14,,,368,,,1926
Beyond A Boundary,C. L. R. James,,,2020-07-28,+,,345,TRUE,,1963
On The Beach,Nevil Shute,,,2020-07-31,++,,312,,,1957
"The Lord of the Rings, The Two Towers",J.R.R. Tolkien,,,2020-08-16,+,TRUE,442,,,1954
The Mirror and the Light,Hilary Mantel,,,2020-09-20,,,907,,,2020
Harrow the Ninth,Tamsyn Muir,,,2020-10-09,,,512,,,2020
Children of Time ,Adrian Tchaikovsky,,,2020-10-19,+,,600,,,2015
"The Lord of the Rings, Return of the King",J.R.R. Tolkien,,,2020-10-25,+,TRUE,416,,,1955
The Second Sleep,Robert Harris,,,2020-11-02,-,,336,,,2019
Reality,John Lanchester,,,2020-11-25,,,240,,,2020
"Entangled Life. How fungi make our world, change our minds, and shape our futures",Merlin Sheldrake,,,2020-12-16,+,,358,TRUE,,2020
The Idiot,Elif Batuman,,,2020-12-27,+,,432,,,2017
When the Wind Blows,Raymond Briggs,,,2020-12-27,+,,48,,TRUE,1982
Energy the Subtle Concept,Jennifer Coopersmith,,,2021-01-16,+,,400,TRUE,,2010
Piranese,Susanna Clarke,,,2021-01-28,+,,272,,,2020
"Girl, Woman, Other",Bernadine Evaristo,,,2021-02-09,+,,464,,,2019
The Owl Service,Alan Garner,,,2021-02-10,,,240,,,1967
The Long Earth,"Stephen Baxter, Terry Pratchett",,,2021-02-27,,,422,,,2012
Economic Science Fictions,"AUDINT, Khairani Barokka, Carina Brand, Ha-Joon Chang, Miriam Cherry, William Davies, Mark Fisher, Dan Gavshon-Brady, James Pockson, Owen Hatherley, Laura Horn, Tim Jackson, Mark Johnson, Bastien Kerspern, Nora O Murchú, Tobias Revell et al., Judy Thorne, Sherryl Vint, Joseph Walton, Brian Willems",William Davis,,2021-03-12,,,400,,,2018
Slaughterhouse 5,"Kurt Vonnegut, Ryan North, Albert Monteys",,,2021-03-13,,,192,,TRUE,2020
The League Of Extraordinary Gentlemen (Vol IV): The Tempest ,"Alan Moore, Kevin O'Neil",,,2021-03-29,,,224,,TRUE,2020
Having and Being Had,Eula Bliss,,,2021-04-02,+,,336,TRUE,,2020
Exhalation,Ted Chiang,,,2021-04-14,+,,208,,,2019
A Memory Called Empire,Arkady Martine,,,2021-04-26,,,443,,,2019
Treasure Island,Robert Louis Stevenson,,,2021-05-03,,,224,,,1883
Children of Ruin,Adrian Tchaikovsky,,,2021-05-20,+,,565,,,2019
Marneus Calgar,"Kieron Gillen,Jacen Burrows",,,2021-05-22,,,115,,TRUE,2021
The Passenger,Ulrich Alexander Boschwitz,,Philip Boehm,2021-05-30,,,237,,,1938
Melmoth,Sarah Perry,,,2021-06-21,+,,280,,,2018
No One Is Talking About This,Patricia Lockwood,,,2021-06-27,+,,224,,,2021
The Sword In The Stone,T. H. White,,,2021-07-13,,,312,,,1938

The Ministry for the Future,Kim Stanley Robinson,,,,,,576,,,2020
The Isles: A History,Norman Davies,,,,,,1120,TRUE,,2000
The Man with the Compound Eyes,Wu Ming-Yi,,,,,,301,,,2012
Oblivion,David Foster Wallace,,,,,,336,,,2004
"Collected Stories and Other Writings (Library of America, No. 188)",John Cheever,,,,,,1040,,,1978
The Grammar of Graphics (Statistics and Computing),Leland Wilkinson,,,,,,712,TRUE,,1999
Grimm Tales: For Young and Old,Phillip Pullman,,,,,,448,,,2012
Epiphany of The Long Sun,Gene Wolfe,,,,,,720,,,2000
The Complete Chronicles of Conan: Centenary Edition,Robert E. Howard,,,,,,928,,,1932
